"total_exp","country_name"
0.575,"Austria"
0.75,"Belgium"
0.275,"Bulgaria"
1.1749999999999998,"Croatia"
1.0750000000000002,"Cyprus"
1,"Czechia"
0.8999999999999999,"Denmark"
1.425,"Estonia"
0.875,"Finland"
1,"France"
0.625,"Germany"
0.42500000000000004,"Greece"
0.7249999999999999,"Hungary"
0.575,"Ireland"
0.575,"Italy"
0.7999999999999999,"Latvia"
0.475,"Lithuania"
0.8999999999999999,"Luxembourg"
0.22499999999999998,"Malta"
1.3,"Netherlands"
0.6,"Norway"
0.7,"Poland"
0.8500000000000001,"Portugal"
0.7999999999999999,"Romania"
0.42500000000000004,"Slovakia"
0.6,"Slovenia"
1,"Spain"
0.7749999999999999,"Sweden"
1.0750000000000002,"Switzerland"
0.7249999999999999,"United Kingdom"
